Mes,Dia,cuentas,personas,articulos,total
Septiembre,Lunes,77,127,356,20296.4
Septiembre,Martes,87,172,471,27447.35
Septiembre,Miercoles,86,136,355,20846
Septiembre,Jueves,89,153,498,30109
Septiembre,Viernes,138,237,739,43016.6
Septiembre,Sabado,186,364,928,52726.2
Septiembre,Domingo,139,198,652,41929.8
Septiembre,Lunes,86,126,372,21221.8
Septiembre,Martes,125,205,504,29842
Septiembre,Miercoles,113,188,535,31197.1
Septiembre,Jueves,68,117,324,19324.55
Septiembre,Viernes,122,209,620,34986
Septiembre,Sabado,141,241,777,44728
Septiembre,Domingo,125,166,512,32395
Septiembre,Lunes,82,122,351,19441
Septiembre,Martes,94,155,424,24495
Septiembre,Miercoles,99,163,484,25632.75
Septiembre,Jueves,112,184,664,36655
Septiembre,Viernes,157,254,786,45934.3
Septiembre,Sabado,193,298,1019,58818
Septiembre,Domingo,137,192,579,35471
Septiembre,Lunes,92,155,443,24757
Septiembre,Martes,88,158,366,22837.2
Septiembre,Miercoles,131,251,647,36649.15
Octubre,Jueves,81,146,351,20499
Octubre,Viernes,180,303,869,52070.25
Octubre,Sabado,177,315,876,50617.75
Octubre,Domingo,132,224,672,41458.4
Octubre,Lunes,58,92,250,14692.5
Octubre,Martes,80,138,332,20131
Octubre,Miercoles,68,96,289,17718
Octubre,Jueves,53,72,182,10561
Octubre,Viernes,142,237,670,38379.8
Octubre,Sabado,182,303,956,53125.3
Octubre,Domingo,121,178,491,32287.9
Octubre,Lunes,79,118,326,18929
Octubre,Martes,88,153,388,21991.25
Octubre,Miercoles,106,189,519,29789.25
Octubre,Jueves,137,219,862,47395.5
Octubre,Viernes,155,249,725,43651.35
Octubre,Sabado,169,258,792,47200.2
Octubre,Domingo,147,201,700,42305
Octubre,Lunes,84,128,376,21386.6
Octubre,Martes,61,94,243,13637.7
Octubre,Miercoles,87,165,467,25831.6
Octubre,Jueves,91,131,465,24103.2
Octubre,Viernes,127,237,635,36355.9
Octubre,Sabado,160,259,793,44285
Octubre,Domingo,140,227,587,36474.7
Octubre,Lunes,72,122,339,22005
Octubre,Martes,81,160,477,25702.25
Octubre,Miercoles,75,138,441,20736
Octubre,Jueves,116,188,587,37753.45
Octubre,Viernes,186,322,980,55424.85
Octubre,Sabado,166,263,835,47851.55
Noviembre,Domingo,120,180,562,33891.5
Noviembre,Lunes,119,175,532,30981.45
Noviembre,Martes,67,114,332,19159.95
Noviembre,Miercoles,110,180,586,31911.4
Noviembre,Jueves,85,137,417,22565.1
Noviembre,Viernes,142,239,734,42044.15
Noviembre,Sabado,171,275,808,47612.9
Noviembre,Domingo,129,231,572,36132.5
Noviembre,Lunes,81,132,405,21897
Noviembre,Martes,89,144,380,23421.8
Noviembre,Miercoles,99,159,453,25816.9
Noviembre,Jueves,102,185,579,33109.2
Noviembre,Viernes,186,298,820,48479.35
Noviembre,Sabado,196,320,967,55267
Noviembre,Domingo,123,201,496,30665.3
Noviembre,Lunes,110,161,511,29390
Noviembre,Martes,66,110,351,19478.05
Noviembre,Miercoles,70,114,323,19282
Noviembre,Jueves,94,146,444,25695
Noviembre,Viernes,151,262,777,46266.15
Noviembre,Sabado,177,305,1160,67922.35
Noviembre,Domingo,99,128,398,26117.5
Noviembre,Lunes,63,86,300,17222
Noviembre,Martes,99,157,458,24509.2
Noviembre,Miercoles,106,183,598,33393
Noviembre,Jueves,120,186,540,32372
Noviembre,Viernes,174,285,997,58145.1
Noviembre,Sabado,190,330,952,56902
Noviembre,Domingo,131,220,572,35437.3
Noviembre,Lunes,98,155,444,24931.8
Diciembre,Martes,100,172,540,28073.1
Diciembre,Miercoles,95,170,512,28382.85
Diciembre,Jueves,114,196,602,34922.6
Diciembre,Viernes,151,251,766,44270
Diciembre,Sabado,203,343,1026,59150.7
Diciembre,Domingo,153,234,697,44292.9
Diciembre,Martes,78,124,381,22161.6
Diciembre,Miercoles,109,190,545,32783
Diciembre,Jueves,132,240,758,44478.95
Diciembre,Viernes,133,235,786,46839
Diciembre,Sabado,150,242,795,47198.3
Diciembre,Domingo,146,240,685,42962.55
Diciembre,Lunes,108,175,586,35922.9
Diciembre,Martes,111,191,645,39176
Diciembre,Miercoles,121,222,728,43588.7
Diciembre,Jueves,126,198,744,42871
Diciembre,Viernes,193,360,1065,65228
Diciembre,Sabado,185,313,937,57221
Diciembre,Domingo,139,217,733,46851.65
Diciembre,Lunes,138,252,814,47384.45
Diciembre,Martes,135,257,816,48455.1
Diciembre,Miercoles,145,312,900,53644.25
Diciembre,Sabado,148,283,730,49147
Diciembre,Domingo,153,261,812,52431.2
Diciembre,Lunes,135,257,726,44640.55
Diciembre,Martes,149,278,837,49232
Diciembre,Miercoles,201,370,1148,66228.8
Diciembre,Jueves,37,45,168,10126
Enero,Viernes,106,197,540,34824.4
Enero,Sabado,171,287,915,55061.55
Enero,Domingo,155,238,781,49379
Enero,Lunes,91,159,452,25487
Enero,Martes,105,197,509,29606
Enero,Miercoles,88,158,436,23776.3
Enero,Jueves,97,176,560,33074
Enero,Viernes,167,350,936,60096.7
Enero,Sabado,206,344,1003,62675.9
Enero,Domingo,161,271,781,47887.8
Enero,Lunes,103,173,477,28970.6
Enero,Martes,80,165,472,28253.6
Enero,Miercoles,99,190,510,28516.2
Enero,Jueves,136,227,725,42865.7
Enero,Viernes,202,422,1273,72795.3
Enero,Sabado,230,390,1075,66097.5
Enero,Domingo,145,239,688,42584.5
Enero,Lunes,109,171,496,29577
Enero,Martes,89,148,385,23096.8
Enero,Miercoles,100,207,621,33208.3
Enero,Jueves,99,174,585,36611.5
Enero,Viernes,169,305,907,52434.7
Enero,Sabado,182,304,992,59327.3
Enero,Domingo,150,270,799,48701.8
Enero,Lunes,64,116,264,16548
Enero,Martes,71,119,314,19998.7
Enero,Miercoles,82,128,364,22453.5
Enero,Jueves,117,190,626,38395
Enero,Viernes,171,315,883,56282
Enero,Sabado,193,340,974,56861.2
Enero,Domingo,118,191,547,35232.5
Febrero,Lunes,104,151,438,29573.3
Febrero,Martes,70,142,470,23756.6
Febrero,Miercoles,66,123,323,19107
Febrero,Jueves,67,107,414,24640.2
Febrero,Viernes,149,287,853,51522.6
Febrero,Sabado,171,326,946,54187.3
Febrero,Domingo,153,263,810,51602.2
Febrero,Lunes,54,78,215,12704.8
Febrero,Martes,84,160,442,24792.5
Febrero,Miercoles,85,144,405,22661
Febrero,Jueves,107,159,470,28589
Febrero,Viernes,161,371,940,54799
Febrero,Sabado,225,378,1073,67087.9
Febrero,Domingo,276,547,1398,91376.2
Febrero,Lunes,87,177,545,30428
Febrero,Martes,97,191,468,27827.7
Febrero,Miercoles,91,169,397,23537.5
Febrero,Jueves,98,163,503,29038.3
Febrero,Viernes,159,257,783,47742.4
Febrero,Sabado,174,295,861,51635.4
Febrero,Domingo,116,193,538,32909.3
Febrero,Lunes,58,100,229,12660.3
Febrero,Martes,80,160,378,23228.7
Febrero,Miercoles,96,164,456,26799
Febrero,Jueves,99,161,517,29604.8
Febrero,Viernes,182,316,943,58419.1
Febrero,Sabado,181,300,955,59173
Febrero,Domingo,130,179,562,36445
Febrero,Lunes,97,149,458,27739.9
Marzo,Martes,100,164,417,23507
Marzo,Miercoles,94,158,456,26337
Marzo,Jueves,102,181,549,31795.9
Marzo,Viernes,148,273,772,46698.3
Marzo,Sabado,176,334,946,56324
Marzo,Domingo,108,200,504,32681
Marzo,Lunes,63,107,295,15926
Marzo,Martes,90,170,442,26074
Marzo,Miercoles,86,151,451,25144
Marzo,Jueves,106,187,567,33365
Marzo,Viernes,149,270,796,49485.5
Marzo,Sabado,162,304,809,48984.8
Marzo,Domingo,145,278,707,47434
Marzo,Lunes,85,146,371,23258
Marzo,Martes,86,158,445,25350.6
Marzo,Miercoles,124,222,577,34366.3
Marzo,Jueves,108,238,534,31889
Marzo,Viernes,174,315,1014,60181.65
Marzo,Sabado,155,268,724,44804.3
Marzo,Domingo,110,196,479,31256.6
Marzo,Lunes,96,160,445,26516.2
Marzo,Martes,92,176,418,26023.8
Marzo,Miercoles,139,256,655,40045.8
Marzo,Sabado,121,196,487,31029
Marzo,Domingo,149,230,649,41744
Marzo,Lunes,91,136,367,22141.6
Marzo,Martes,100,174,415,25421
Marzo,Miercoles,101,151,456,27794.5
Marzo,Jueves,123,226,685,39597.6
Abril,Viernes,141,235,706,44472
Abril,Sabado,226,411,1205,72137.6
Abril,Domingo,128,185,547,36541.6
Abril,Lunes,68,94,304,17740.2
Abril,Martes,84,137,409,22913.8
Abril,Miercoles,81,154,380,23130.7
Abril,Jueves,80,118,356,21660.8
Abril,Viernes,127,225,704,39408.4
Abril,Sabado,176,283,798,50003.55
Abril,Domingo,96,154,379,25964
Abril,Lunes,72,109,276,16502.1
Abril,Martes,72,130,359,20714.4
Abril,Miercoles,104,196,502,27856.6
Abril,Jueves,109,169,517,30706.25
Abril,Viernes,151,266,912,53725.8
Abril,Sabado,170,281,832,50864.85
Abril,Domingo,133,224,609,38716.4
Abril,Lunes,57,79,260,15567
Abril,Martes,104,185,493,27977.3
Abril,Miercoles,92,166,456,26425
Abril,Jueves,101,165,546,31914
Abril,Viernes,145,294,816,49559.25
Abril,Sabado,186,291,835,49594.2
Abril,Domingo,114,184,513,31720
Abril,Lunes,71,130,333,20437.5
Abril,Martes,71,115,317,18821.7
Abril,Miercoles,99,165,490,27457.9
Abril,Jueves,111,203,572,33994.35
Abril,Viernes,171,293,877,56785
Abril,Sabado,211,333,869,57074.7
Mayo,Domingo,132,180,509,32375.7
Mayo,Lunes,66,99,326,18547
Mayo,Martes,100,190,468,28890.8
Mayo,Miercoles,121,205,652,35496.8
Mayo,Jueves,111,184,608,35962
Mayo,Viernes,150,274,709,41323.2
Mayo,Sabado,196,339,1057,67131.3
Mayo,Domingo,124,196,590,37780
Mayo,Lunes,86,171,477,25893.4
Mayo,Martes,186,390,1203,80396.8
Mayo,Miercoles,108,194,499,30822.9
Mayo,Jueves,119,214,731,40362.2
Mayo,Viernes,182,345,1013,58314.6
Mayo,Sabado,161,286,797,48539.2
Mayo,Domingo,181,296,821,52614
Mayo,Lunes,88,166,437,25578.2
Mayo,Martes,92,176,448,27243
Mayo,Miercoles,118,252,624,34790.3
Mayo,Jueves,95,158,585,31349.9
Mayo,Viernes,148,249,754,47762.1
Mayo,Sabado,178,319,860,52651.75
Mayo,Domingo,137,220,639,39019
Mayo,Lunes,88,148,351,22901.85
Mayo,Martes,105,181,483,27806
Mayo,Miercoles,89,163,412,22666.75
Mayo,Jueves,105,212,636,36438.6
Mayo,Viernes,156,265,793,47501.05
Mayo,Sabado,210,379,1125,68172.1
Mayo,Domingo,128,205,573,37861
Mayo,Lunes,107,192,532,30474.1
Mayo,Martes,101,178,475,26920
Junio,Miercoles,128,234,650,37602.25
Junio,Jueves,103,193,502,31830.6
Junio,Viernes,158,315,846,50984.35
Junio,Sabado,186,358,938,57368
Junio,Domingo,140,241,698,42627.75
Junio,Lunes,86,154,379,23169.6
Junio,Martes,86,166,471,29679
Junio,Miercoles,110,192,571,32999.95
Junio,Jueves,123,218,695,38214.2
Junio,Viernes,165,321,856,53056.35
Junio,Sabado,172,348,813,50762.1
Junio,Domingo,121,204,529,34443.55
Junio,Lunes,92,173,439,26235.2
Junio,Martes,106,194,471,28135
Junio,Miercoles,142,290,705,41844
Junio,Jueves,115,213,740,42913.8
Junio,Viernes,175,342,1034,59070.05
Junio,Sabado,211,403,1120,67650.55
Junio,Domingo,164,352,981,62678.2
Junio,Lunes,88,197,568,32078.85
Junio,Martes,87,184,493,29140
Junio,Miercoles,96,186,551,32964.2
Junio,Jueves,94,173,488,28183.4
Junio,Viernes,182,351,1150,62766.65
Junio,Sabado,174,306,888,55002.7
Junio,Domingo,138,261,649,40179
Junio,Lunes,92,179,431,27377.25
Junio,Martes,109,197,605,35475.6
Junio,Miercoles,132,291,746,44514
Junio,Jueves,139,290,826,49664.8
Julio,Viernes,175,361,1017,61845.85
Julio,Sabado,186,374,977,62026.15
Julio,Domingo,154,303,764,47263.95
Julio,Lunes,94,158,418,24858.3
Julio,Martes,112,214,601,32951
Julio,Miercoles,98,172,476,28373.7
Julio,Jueves,108,207,642,34180.55
Julio,Viernes,160,326,898,52200.75
Julio,Sabado,174,311,831,51261.1
Julio,Domingo,154,315,762,47651.75
Julio,Lunes,74,144,377,22265
Julio,Martes,99,184,494,29209.3
Julio,Miercoles,113,218,594,33488.4
Julio,Jueves,130,241,763,45305
Julio,Viernes,176,343,1030,59557.55
Julio,Sabado,189,355,972,57303
Julio,Domingo,130,230,576,36570
Julio,Lunes,96,172,488,26160.6
Julio,Martes,97,189,485,28219.25
Julio,Miercoles,120,236,811,40698.35
Julio,Jueves,140,258,688,42270.1
Julio,Viernes,147,320,980,58976.35
Julio,Sabado,183,340,916,56304.6
Julio,Domingo,120,292,572,38514.3
Julio,Lunes,75,142,462,23187.05
Julio,Martes,108,268,558,33971.3
Julio,Miercoles,88,161,408,24230.3
Julio,Jueves,117,260,721,42178.5
Julio,Viernes,154,320,855,52027.55
Julio,Sabado,178,356,923,53580
Julio,Domingo,114,233,550,34086.9
Agosto,Lunes,90,185,457,26686.55
Agosto,Martes,97,176,515,31150.5
Agosto,Miercoles,103,194,545,31425.55
Agosto,Jueves,127,256,695,40864
Agosto,Viernes,167,310,894,53092.9
Agosto,Sabado,180,334,929,58723
Agosto,Domingo,109,193,619,39945.35
Agosto,Lunes,82,162,426,24456.95
Agosto,Martes,80,144,433,24310
Agosto,Miercoles,100,192,553,31367.8
Agosto,Jueves,90,200,626,34855.5
Agosto,Viernes,186,363,1080,60451
Agosto,Sabado,192,358,952,58376.4
Agosto,Domingo,139,243,630,39958.6
Agosto,Lunes,79,177,519,28605
Agosto,Martes,93,175,420,25768.15
Agosto,Miercoles,82,146,364,21092
Agosto,Jueves,126,216,636,37425.6
Agosto,Viernes,167,330,977,56842
Agosto,Sabado,215,372,1028,62735.25
Agosto,Domingo,131,235,607,38212
Agosto,Lunes,86,166,425,26173
Agosto,Martes,98,195,478,27925
Agosto,Miercoles,72,124,374,20865.6
Agosto,Jueves,93,158,469,26899.5
Agosto,Viernes,178,335,922,52595.58
Agosto,Sabado,181,349,927,55321.3
Agosto,Domingo,107,201,495,34629
Agosto,Lunes,60,118,308,18934
Agosto,Martes,88,163,400,22538
Agosto,Miercoles,95,186,460,26562.5
Septiembre,Jueves,120,254,667,37625.3
Septiembre,Viernes,168,342,1016,57926.7
Septiembre,Sabado,186,352,921,56201.9
Septiembre,Domingo,123,245,598,37252
Septiembre,Lunes,87,168,437,25406
Septiembre,Martes,72,149,299,18581.8
Septiembre,Miercoles,88,180,471,28129.8
Septiembre,Jueves,95,344,471,25581.95
Septiembre,Viernes,147,304,873,51746.2
Septiembre,Sabado,186,377,979,59209.5
Septiembre,Domingo,123,231,616,38496.9
Septiembre,Lunes,65,124,304,18055
Septiembre,Martes,79,210,416,24891
Septiembre,Miercoles,92,178,472,26566.3
Septiembre,Jueves,139,296,765,44570.7
Septiembre,Viernes,130,231,606,36289.2
Septiembre,Sabado,163,292,840,48554.5
Septiembre,Domingo,130,257,668,39634.4
Septiembre,Lunes,70,134,354,19727.6
Septiembre,Martes,76,142,354,21257.95
Septiembre,Miercoles,71,137,339,20364.3
Septiembre,Jueves,103,209,581,33615.5
Septiembre,Viernes,137,274,770,46680
Septiembre,Sabado,164,324,885,52266.7
Septiembre,Domingo,128,246,552,35537.05
Septiembre,Lunes,66,113,317,18502
Septiembre,Martes,73,131,319,19296.3
Septiembre,Miercoles,70,147,406,21844.8
Septiembre,Jueves,117,226,666,37878.9
Septiembre,Viernes,167,347,1048,61600
Octubre,Sabado,152,382,787,46829.8
Octubre,Domingo,127,230,579,38495
Octubre,Lunes,59,113,300,17468
Octubre,Martes,105,220,506,31569.7
Octubre,Miercoles,83,164,445,25164.65
Octubre,Jueves,89,174,510,29176
Octubre,Viernes,154,339,878,52395.1
Octubre,Sabado,187,356,961,55976.1
Octubre,Domingo,122,271,515,33904.2
Octubre,Lunes,55,116,320,18391.3
Octubre,Martes,97,178,488,27927.5
Octubre,Miercoles,98,189,472,27454
Octubre,Jueves,105,193,579,31744.5
Octubre,Viernes,172,383,911,56608.7
Octubre,Sabado,187,334,892,54519
Octubre,Domingo,131,234,523,37563
Octubre,Lunes,66,146,385,23094
Octubre,Martes,81,147,390,21412.7
Octubre,Miercoles,84,164,431,24548.1
Octubre,Jueves,93,170,513,26354
Octubre,Viernes,161,328,840,50650.6
Octubre,Sabado,157,337,764,46665
Octubre,Domingo,151,284,681,42466
Octubre,Lunes,78,156,348,20563.6
Octubre,Martes,82,165,389,23660
Octubre,Miercoles,111,212,574,32157.8
Octubre,Jueves,96,195,544,31161.6
Octubre,Viernes,175,380,951,58190.95
Octubre,Sabado,169,329,818,48382.4
Octubre,Domingo,137,274,599,39956.6
Octubre,Lunes,83,180,465,27816
Noviembre,Martes,104,199,539,31401.4
Noviembre,Miercoles,144,270,817,47565
Noviembre,Jueves,93,183,488,28300.9
Noviembre,Viernes,132,274,729,41712.3
Noviembre,Sabado,193,395,1010,60025.15
Noviembre,Domingo,104,218,527,32775.9
Noviembre,Lunes,76,151,375,21937
Noviembre,Martes,66,130,337,18476.5
Noviembre,Miercoles,82,174,448,26973
Noviembre,Jueves,85,176,434,26310
Noviembre,Viernes,165,329,925,53926.5
Noviembre,Sabado,186,372,988,61189.3
Noviembre,Domingo,116,208,517,35495.5
Noviembre,Lunes,84,172,415,23375
Noviembre,Martes,104,227,526,32337.7
Noviembre,Miercoles,89,176,485,29659
Noviembre,Jueves,104,235,664,40394.7
Noviembre,Viernes,169,327,919,52958.55
Noviembre,Sabado,175,323,825,46714.3
Noviembre,Domingo,145,306,654,37794
Noviembre,Lunes,116,227,512,31196.9
Noviembre,Martes,61,121,337,20245.6
Noviembre,Miercoles,80,155,412,24174
Noviembre,Jueves,121,234,629,37666.2
Noviembre,Viernes,151,299,834,48438.9
Noviembre,Sabado,167,412,841,51685.5
Noviembre,Domingo,157,296,841,51832.46
Noviembre,Lunes,65,142,359,21604.6
Noviembre,Martes,82,179,445,26830.2
Noviembre,Miercoles,105,228,554,34899
Diciembre,Jueves,127,256,724,43544.2
Diciembre,Viernes,164,348,897,55404.9
Diciembre,Sabado,182,358,859,56462.8
Diciembre,Domingo,137,244,704,47782
Diciembre,Martes,107,216,629,40018.9
Diciembre,Miercoles,103,232,576,37785.85
Diciembre,Jueves,118,247,667,44729.5
Diciembre,Viernes,180,360,1125,69454.2
Diciembre,Sabado,192,403,1111,76093
Diciembre,Domingo,142,285,678,47845.3
Diciembre,Lunes,99,210,572,35701.3
Diciembre,Martes,90,243,462,28577.8
Diciembre,Miercoles,124,329,732,46707.3
Diciembre,Jueves,161,385,948,60862.2
Diciembre,Viernes,188,382,1087,70573
Diciembre,Sabado,169,424,975,67471.3
Diciembre,Domingo,119,234,613,44267.5
Diciembre,Lunes,134,281,710,47408.6
Diciembre,Martes,134,293,746,52189.4
Diciembre,Miercoles,123,233,691,47592
Diciembre,Jueves,151,324,919,60495.7
Diciembre,Viernes,140,283,796,54822.5
Diciembre,Sabado,24,33,88,6903
Diciembre,Domingo,52,116,287,17658.8
Diciembre,Lunes,112,223,556,39224.1
Diciembre,Martes,111,297,725,46358.2
Diciembre,Miercoles,120,225,726,43318.5
Diciembre,Jueves,138,895,823,55503.9
Diciembre,Viernes,185,391,1159,72941.9
Diciembre,Sabado,46,62,186,13549.1
Enero,Domingo,70,200,273,19562.8
Enero,Lunes,144,298,779,51446.05
Enero,Martes,93,202,516,34190
Enero,Miercoles,87,174,479,32404
Enero,Jueves,88,179,429,28151
Enero,Viernes,113,237,674,42252.3
Enero,Sabado,179,356,901,61873.4
Enero,Domingo,121,230,546,37666.6
Enero,Lunes,86,167,528,32505
Enero,Martes,61,139,319,23320.7
Enero,Miercoles,92,173,473,31981
Enero,Jueves,102,232,626,40819.6
Enero,Viernes,172,353,968,64101.9
Enero,Sabado,207,468,1160,80399.1
Enero,Domingo,148,322,812,52964.4
Enero,Lunes,77,140,359,23946
Enero,Martes,96,172,384,26755
Enero,Miercoles,88,188,476,29610.9
Enero,Jueves,115,233,688,42160.65
Enero,Viernes,149,295,846,55612
Enero,Sabado,161,330,842,55664.5
Enero,Domingo,146,267,745,52291.7
Enero,Lunes,83,169,451,28425.9
Enero,Martes,80,169,419,27386
Enero,Miercoles,83,185,493,31898.9
Enero,Jueves,89,176,451,27908
Enero,Viernes,165,365,952,62829.7
Enero,Sabado,164,347,902,60622.6
Enero,Domingo,105,203,445,31872.3
Enero,Lunes,68,117,276,19244
Enero,Martes,103,206,531,33903.65
Febrero,Miercoles,108,222,604,39284.95
Febrero,Jueves,86,167,504,31680
Febrero,Viernes,156,304,1096,69909.5
Febrero,Sabado,176,329,893,61182.9
Febrero,Domingo,134,229,622,44849.5
Febrero,Lunes,78,132,351,23591.5
Febrero,Martes,91,175,645,34338.5
Febrero,Miercoles,86,166,451,27658.5
Febrero,Jueves,77,169,437,26921.4
Febrero,Viernes,169,365,969,62786.25
Febrero,Sabado,137,296,739,49657.3
Febrero,Domingo,90,181,427,30189.8
Febrero,Lunes,76,148,375,24487.9
Febrero,Martes,254,536,1469,105567.3
Febrero,Miercoles,117,227,555,36290.7
Febrero,Jueves,100,214,633,40408.7
Febrero,Viernes,141,290,804,52741
Febrero,Sabado,207,385,972,68573.35
Febrero,Domingo,120,233,572,40631.1
Febrero,Lunes,75,131,336,20871.7
Febrero,Martes,68,133,313,20863.6
Febrero,Miercoles,83,155,473,30728.6
Febrero,Jueves,96,227,638,39348.7
Febrero,Viernes,161,359,875,58153.5
Febrero,Sabado,162,358,782,53869.3
Febrero,Domingo,111,206,487,35244.45
Febrero,Lunes,61,120,318,22029
Febrero,Martes,102,185,455,30230.5
Marzo,Miercoles,81,152,472,29037
Marzo,Jueves,97,213,554,36394.3
Marzo,Viernes,140,268,724,50269.1
Marzo,Sabado,157,294,722,53520.4
Marzo,Domingo,99,175,505,35488.6
Marzo,Lunes,72,127,380,26029.5
Marzo,Martes,59,109,299,18505.8
Marzo,Miercoles,70,135,346,23100.5
Marzo,Jueves,88,199,567,36705.3
Marzo,Viernes,124,256,764,49214.55
Marzo,Sabado,157,293,734,50004.5
Marzo,Domingo,105,171,472,36293.9
Marzo,Lunes,63,190,286,17740.2
Marzo,Martes,66,114,327,21299.8
Marzo,Miercoles,95,189,500,31911.2
Marzo,Jueves,104,220,561,36966.4
Marzo,Viernes,149,288,735,48090.4
Marzo,Sabado,153,258,758,52074.4
Marzo,Domingo,94,169,415,30390.4
Marzo,Lunes,89,145,377,28240.5
Marzo,Martes,62,109,258,17885
Marzo,Miercoles,89,166,438,27808.2
Marzo,Jueves,65,129,372,24164
Marzo,Viernes,143,266,769,49695.3
Marzo,Sabado,162,296,866,56970
Marzo,Domingo,99,165,393,30809.6
Marzo,Lunes,53,95,280,17250
Marzo,Martes,71,123,315,22476.7
Marzo,Miercoles,74,145,371,24522
Marzo,Jueves,85,207,606,40434.8
Marzo,Viernes,153,319,870,59927.1
Abril,Sabado,145,251,664,47897.7
Abril,Domingo,106,194,480,35931.8
Abril,Lunes,58,97,276,17828.1
Abril,Martes,68,135,431,27124.4
Abril,Miercoles,92,157,397,25503.3
Abril,Jueves,93,198,538,35012.9
Abril,Viernes,155,291,887,53384
Abril,Sabado,156,837,778,54040.9
Abril,Domingo,126,215,596,41710.2
Abril,Lunes,85,146,390,26433.3
Abril,Martes,117,202,634,40624.5
Abril,Miercoles,129,240,688,44946.4
Abril,Sabado,116,223,511,39947
Abril,Domingo,116,205,529,37847
Abril,Lunes,85,143,402,26903.4
Abril,Martes,92,153,417,26877.8
Abril,Miercoles,84,172,399,24431.3
Abril,Jueves,115,213,628,41250
Abril,Viernes,131,239,710,45271.3
Abril,Sabado,144,267,651,45102.6
Abril,Domingo,181,316,936,62766.6
Abril,Lunes,70,120,333,21547.3
Abril,Martes,58,86,278,18947
Abril,Miercoles,60,106,265,18578.4
Abril,Jueves,95,197,570,37539.9
Abril,Viernes,145,267,811,49900.75
Abril,Sabado,139,268,685,44393.5
Abril,Domingo,126,252,651,48376.4
Mayo,Lunes,95,163,473,30916
Mayo,Martes,60,107,287,16645.5
Mayo,Miercoles,78,153,415,25768.6
Mayo,Jueves,108,224,656,40458.6
Mayo,Viernes,128,239,681,42273.3
Mayo,Sabado,182,300,1112,75278.5
Mayo,Domingo,104,228,479,33452.6
Mayo,Lunes,66,111,265,19088.8
Mayo,Martes,87,195,484,32321
Mayo,Miercoles,201,507,1284,93335.4
Mayo,Jueves,98,236,554,37956.5
Mayo,Viernes,169,395,937,63696.2
Mayo,Sabado,148,292,790,53657.1
Mayo,Domingo,139,254,712,51081.1
Mayo,Lunes,92,166,459,28204.8
Mayo,Martes,88,214,488,31182.7
Mayo,Miercoles,71,130,353,22609
Mayo,Jueves,90,191,528,32304.8
Mayo,Viernes,126,249,794,48024.8
Mayo,Sabado,156,368,755,50921.8
Mayo,Domingo,122,201,536,39916
Mayo,Lunes,81,145,444,28423
Mayo,Martes,81,158,413,27175
Mayo,Miercoles,93,179,489,30975.8
Mayo,Jueves,111,293,745,47131.4
Mayo,Viernes,143,275,831,51264.6
Mayo,Sabado,157,286,780,51421.8
Mayo,Domingo,151,278,891,58898.15
Mayo,Lunes,63,125,305,20313
Mayo,Martes,89,146,436,26622.3
Mayo,Miercoles,93,153,420,26671.85
Junio,Jueves,95,195,602,37632
Junio,Viernes,145,283,779,52098.2
Junio,Sabado,178,306,933,60105.05
Junio,Domingo,106,186,469,32866
Junio,Lunes,65,109,328,22277
Junio,Martes,70,128,400,25673.8
Junio,Miercoles,71,128,359,21101.2
Junio,Jueves,110,216,664,39529
Junio,Viernes,152,294,804,50365.3
Junio,Sabado,143,281,721,48014
Junio,Domingo,137,285,717,49234.5
Junio,Lunes,59,116,314,19374.3
Junio,Martes,72,125,345,21635.3
Junio,Miercoles,100,181,607,41716.8
Junio,Jueves,108,243,771,47613.75
Junio,Viernes,153,306,963,56839.3
Junio,Sabado,129,254,645,44273.8
Junio,Domingo,139,293,727,54662
Junio,Lunes,78,145,441,28825
Junio,Martes,84,155,466,28608.5
Junio,Miercoles,97,192,599,35063.4
Junio,Jueves,93,206,616,38139.55
Junio,Viernes,153,280,828,50607.4
Junio,Sabado,154,290,775,54440.2
Junio,Domingo,124,241,674,47302.6
Junio,Lunes,75,134,370,22200.2
Junio,Martes,96,181,653,40920.2
Junio,Miercoles,119,237,694,45941.8
Junio,Jueves,152,320,938,59047
Junio,Viernes,163,324,1100,72983
Julio,Sabado,200,362,1038,70569.1
Julio,Domingo,133,271,638,43808.8
Julio,Lunes,101,170,463,31947.4
Julio,Martes,103,200,593,38366.7
Julio,Miercoles,113,202,640,38887.8
Julio,Jueves,119,238,712,43059
Julio,Viernes,171,334,994,64334.4
Julio,Sabado,161,301,791,52303.7
Julio,Domingo,118,234,591,41430.8
Julio,Lunes,70,124,276,19233.3
Julio,Martes,87,166,463,29266.3
Julio,Miercoles,87,155,486,29370.2
Julio,Jueves,129,271,722,48468.1
Julio,Viernes,147,301,904,57534.9
Julio,Sabado,179,314,1038,68167
Julio,Domingo,115,213,571,41522.3
Julio,Lunes,84,149,440,25819.2
Julio,Martes,77,139,470,30443
Julio,Miercoles,88,224,504,30130.6
Julio,Jueves,111,208,761,45838.2
Julio,Viernes,145,270,813,53439.85
Julio,Sabado,160,269,733,54879.3
Julio,Domingo,120,212,608,43574.4
Julio,Lunes,87,161,417,28481.4
Julio,Martes,95,198,506,31690.8
Julio,Miercoles,109,190,544,35955.5
Julio,Jueves,102,197,553,37684.6
Julio,Viernes,146,247,785,50211.4
Julio,Sabado,178,352,976,64497.4
Julio,Domingo,100,175,501,34623.5
